"embryo","label_tf","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep","time_tf_buck","time_tf_deep","label_md","x_md_start","x_md_split","frame_md_start","frame_md_split","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","gb_pos_md_start","gb_pos_md_split","gb_pct_md_start","gb_pct_md_split","time_md_start","time_md_split"
"btd-gap_z3_t55s_E10","3D_btd-gap_z3_t55s_E10.tif:0027-0212-0952:27",454,45,499,453,315,408,270,10.1321585903084,40.5286343612335,6,12,27,5.5,19.25,"3D_btd-gap_z3_t55s_E10.tif:0023-0094-1337:23",406,357,19,23,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,361,312,20.4845814977974,31.2775330396476,11.9166666666667,15.5833333333333
"btd-gap_z3_t55s_E12","3D_btd-gap_z3_t55s_E12.tif:0031-0220-0970:31",482,36,518,475,311,439,275,8.92116182572614,42.9460580912863,5,14,31,8.25,23.8333333333333,"3D_btd-gap_z3_t55s_E12.tif:0023-0105-1379:23",418,369,19,23,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,382,333,20.746887966805,30.9128630705394,12.8333333333333,16.5
"btd-gap_z3_t55s_E14","3D_btd-gap_z3_t55s_E14.tif:0048-0189-0949:48",476,33,509,342,291,309,258,35.0840336134454,45.7983193277311,20,40,48,18.3333333333333,25.6666666666667,"3D_btd-gap_z3_t55s_E14.tif:0040-0062-1258:40",376,342,36,40,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,2,NA,2,TRUE,343,309,27.9411764705882,35.0840336134454,14.6666666666667,18.3333333333333
"btd-gap_z3_t55s_E3","3D_btd-gap_z3_t55s_E3.tif:0070-0220-0967:70",462,45,507,459,303,414,258,10.3896103896104,44.1558441558442,43,54,70,10.0833333333333,24.75,"3D_btd-gap_z3_t55s_E3.tif:0065-0104-1248:65",369,343,62,65,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,324,298,29.8701298701299,35.4978354978355,17.4166666666667,20.1666666666667
"btd-gap_z3_t55s_E6","3D_btd-gap_z3_t55s_E6.tif:0046-0219-0964:46",464,43,507,338,300,295,257,36.4224137931034,44.6120689655172,22,40,46,16.5,22,"3D_btd-gap_z3_t55s_E6.tif:0041-0098-1228:41",368,333,37,41,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,4,NA,4,TRUE,325,290,29.9568965517241,37.5,13.75,17.4166666666667
"btd-gap_z3_t55s_E8","3D_btd-gap_z3_t55s_E8.tif:0063-0247-0948:63",507,17,524,334,318,317,301,37.4753451676529,40.6311637080868,29,57,63,25.6666666666667,31.1666666666667,"3D_btd-gap_z3_t55s_E8.tif:0057-0104-1230:57",370,331,53,57,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,2,NA,2,TRUE,353,314,30.3747534516765,38.0670611439842,22,25.6666666666667
"btd-gap2_z3_t55s_E12","3D_btd-gap2_z3_t55s_E12.tif:0072-0219-0979:71",511,24,535,470,328,446,304,12.720156555773,40.5088062622309,47,56,72,8.25,22.9166666666667,"3D_btd-gap2_z3_t55s_E12.tif:0065-0093-1460:64",444,389,60,65,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,FALSE,420,365,17.8082191780822,28.5714285714286,11.9166666666667,16.5
"btd-gap2_z3_t55s_E7","3D_btd-gap2_z3_t55s_E7.tif:0056-0237-0946:55",499,21,520,354,300,333,279,33.2665330661323,44.0881763527054,26,47,56,19.25,27.5,"3D_btd-gap2_z3_t55s_E7.tif:0046-0106-1336:45",398,365,42,46,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,TRUE,377,344,24.4488977955912,31.062124248497,14.6666666666667,18.3333333333333
"btd-gap2_z3_t55s_E8","3D_btd-gap2_z3_t55s_E8.tif:0066-0212-0967:65",478,37,515,468,325,431,288,9.8326359832636,39.7489539748954,43,51,66,7.33333333333333,21.0833333333333,"3D_btd-gap2_z3_t55s_E8.tif:0061-0098-1377:60",417,369,57,61,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,FALSE,380,332,20.5020920502092,30.5439330543933,12.8333333333333,16.5
"btd-hisgap1_E7","3D_btd-hisgap1_E7.tif:0066-0221-0988:66",486,39,525,492,311,453,272,6.79012345679013,44.0329218106996,30,40,66,10,36,"3D_btd-hisgap1_E7.tif:0056-0107-1369:56",412,369,51,56,"2020-02-10_btd-hisgap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,300,1,NA,1,FALSE,373,330,23.2510288065844,32.0987654320988,21,26
