 ,Label,Angle,Length
1,2019-07-25_MAX_slpGap_t70s_z3_E14_sub20.tif:65,-178.873,478.657
2,2019-07-25_MAX_slpGap_t70s_z3_E14_sub20.tif:65,-177.560,315.048
3,2019-07-25_MAX_slpGap_t70s_z3_E13_sub20.tif:29,179.097,525.147
4,2019-07-25_MAX_slpGap_t70s_z3_E13_sub20.tif:39,178.734,361.556
5,2019-07-25_MAX_slpGap_t70s_z3_E11_sub20.tif:22,178.096,549.735
6,2019-07-25_MAX_slpGap_t70s_z3_E11_sub20.tif:19,178.636,383.645
7,2019-07-25_MAX_slpGap_t70s_z3_E9_sub20.tif:46,-175.589,497.269
8,2019-07-25_MAX_slpGap_t70s_z3_E9_sub20.tif:49,-174.537,341.731
9,2019-07-25_MAX_slpGap_t70s_z3_E8_sub20.tif:36,174.084,553.902
10,2019-07-25_MAX_slpGap_t70s_z3_E8_sub20.tif:37,174.499,372.322
11,2019-07-25_MAX_slpGap_t70s_z3_E7_sub20.tif:18,-179.935,504.153
12,2019-07-25_MAX_slpGap_t70s_z3_E7_sub20.tif:16,-179.753,330.652
13,2019-07-25_MAX_slpGap_t70s_z3_E6_sub20.tif:46,177.128,489.539
14,2019-07-25_MAX_slpGap_t70s_z3_E6_sub20.tif:43,178.101,327.017
15,2019-07-25_MAX_slpGap_t70s_z3_E5_sub20.tif:29,179.419,534.999
16,2019-07-25_MAX_slpGap_t70s_z3_E5_sub20.tif:29,179.736,371.745
17,2019-07-25_MAX_slpGap_t70s_z3_E4_sub20.tif:36,180.000,464.201
18,2019-07-25_MAX_slpGap_t70s_z3_E4_sub20.tif:31,-179.212,310.891
19,2019-07-25_MAX_slpGap_t70s_z3_E3_sub20.tif:1,-179.407,524.346
20,2019-07-25_MAX_slpGap_t70s_z3_E3_sub20.tif:45,-179.061,348.198
21,2019-07-25_MAX_slpGap_t70s_z3_E2_sub20.tif:31,-179.155,522.472
22,2019-07-25_MAX_slpGap_t70s_z3_E2_sub20.tif:32,-178.747,365.360
23,2019-07-25_MAX_slpGap_t70s_z3_E1_sub20.tif:24,179.936,509.480
24,2019-07-25_MAX_slpGap_t70s_z3_E1_sub20.tif:22,-179.862,354.620
25,2019-07-03_MAX_slpGap_t50s_z3_E13_sub20.tif:82,-179.935,506.816
26,2019-07-03_MAX_slpGap_t50s_z3_E13_sub20.tif:82,-179.427,342.080
27,2019-07-03_MAX_slpGap_t50s_z3_E12_sub20.tif:52,179.864,480.564
28,2019-07-03_MAX_slpGap_t50s_z3_E12_sub20.tif:52,-179.459,332.184
29,2019-07-03_MAX_slpGap_t50s_z3_E11_sub20.tif:90,176.922,510.216
30,2019-07-03_MAX_slpGap_t50s_z3_E11_sub20.tif:88,177.255,339.794
31,2019-07-03_MAX_slpGap_t50s_z3_E5_sub20.tif:94,177.757,481.216
32,2019-07-03_MAX_slpGap_t50s_z3_E5_sub20.tif:78,177.691,318.632
33,2019-07-03_MAX_slpGap_t50s_z3_E3_sub20.tif:61,176.422,512.000
34,2019-07-03_MAX_slpGap_t50s_z3_E3_sub20.tif:59,176.644,351.036
35,2019-07-03_MAX_slpGap_t50s_z3_E2_sub20.tif:56,177.144,504.018
36,2019-07-03_MAX_slpGap_t50s_z3_E2_sub20.tif:49,177.364,335.179
37,2019-06-27_MAX_slpGap_t45_z3_E4_sub20.tif:20,177.248,487.602
38,2019-06-27_MAX_slpGap_t45_z3_E4_sub20.tif:20,177.110,322.692
39,2019-06-27_MAX_slpGap_t45_z3_E3_sub20.tif:27,-178.344,483.811
40,2019-06-27_MAX_slpGap_t45_z3_E3_sub20.tif:27,-179.406,330.285
41,2019-06-27_MAX_slpGap_t45_z3_E2_sub20.tif:91,-179.294,486.308
42,2019-06-27_MAX_slpGap_t45_z3_E2_sub20.tif:89,-179.076,318.517
43,2019-06-27_MAX_slpGap_t45_z3_E1_sub20.tif:97,-177.980,501.808
44,2019-06-27_MAX_slpGap_t45_z3_E1_sub20.tif:91,-178.053,344.168
45,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G5_C1_sub20.tif:43,-179.665,537.503
46,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G5_C1_sub20.tif:35,-179.182,360.269
47,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G3_C1_sub20.tif:74,178.941,494.884
48,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G3_C1_sub20.tif:115,179.227,338.919
49,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G2_C1_sub20.tif:57,-174.339,524.813
50,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G2_C1_sub20.tif:49,-174.650,361.829
51,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G1_sub20.tif:68,179.506,530.652
52,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G1_sub20.tif:56,179.719,350.327
