 ,Label,Angle,Length
1,2019-07-25_MAX_slpGap_t70s_z3_E16_sub20.tif:52,-176.717,518.321
2,2019-07-25_MAX_slpGap_t70s_z3_E16_sub20.tif:51,-176.521,376.240
3,2019-07-25_MAX_slpGap_t70s_z3_E15_sub20.tif:39,-179.554,513.302
4,2019-07-25_MAX_slpGap_t70s_z3_E15_sub20.tif:40,179.868,371.742
5,2019-07-03_MAX_slpGap_t50s_z3_E9_sub20.tif:73,180.000,463.726
6,2019-07-03_MAX_slpGap_t50s_z3_E9_sub20.tif:68,-179.807,339.021
7,2019-07-03_MAX_slpGap_t50s_z3_E7_sub20.tif:73,179.396,514.073
8,2019-07-03_MAX_slpGap_t50s_z3_E7_sub20.tif:73,-179.345,374.428
9,2019-07-03_MAX_slpGap_t50s_z3_E4_sub20.tif:62,179.567,528.901
10,2019-07-03_MAX_slpGap_t50s_z3_E4_sub20.tif:55,179.917,392.289
11,2019-07-03_MAX_slpGap_t50s_z3_E1_sub20.tif:87,-178.216,513.153
12,2019-07-03_MAX_slpGap_t50s_z3_E1_sub20.tif:82,-178.137,377.265
13,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G4_sub20.tif:75,174.199,503.458
14,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G4_sub20.tif:62,174.412,372.673
