"dataset","sample","condition","frame","time_s","time_min","distance","percentage"
"cONTROL1","control1","control",0,0,0,14.0653678082522,100
"cONTROL1","control1","control",49,25.4324553,0.423874255,14.1017085758303,100.258370545823
"cONTROL1","control1","control",99,51.3839403,0.856399005,14.2041691798678,100.986830728552
"cONTROL1","control1","control",149,77.3354253,1.288923755,13.9496641485263,99.1773861778575
"cONTROL1","control1","control",199,103.2869103,1.721448505,13.7129964115686,97.4947587472483
"cONTROL1","control1","control",250,129.757425,2.16262375,13.3752655233874,95.0936065499835
"cONTROL1","control1","control",299,155.1898803,2.586498005,13.4958945441142,95.9512380202109
"cONTROL1","control1","control",349,181.1413653,3.019022755,13.8614834447336,98.550451248072
"cONTROL1","control1","control",399,207.0928503,3.451547505,14.0630933922057,99.9838296724446
"cONTROL1","control1","control",449,233.0443353,3.884072255,13.9557777301273,99.2208516718593
"cONTROL1","control1","control",499,258.9958203,4.316597005,14.097927449988,100.231488022067
"cONTROL1","control1","control",549,284.9473053,4.749121755,14.9109795784005,106.012013206311
"cONTROL1","control1","control",599,310.8987903,5.181646505,15.0886921439099,107.275489340971
"cONTROL1","control1","control",649,336.8502753,5.614171255,14.7434230431013,104.820743005748
"cONTROL1","control1","control",699,362.8017603,6.046696005,14.8443275852606,105.538140115692
"cONTROL1","control1","control",749,388.7532453,6.479220755,14.8758990833072,105.762602770896
"cONTROL1","control1","control",799,414.7047303,6.911745505,14.6672890884731,104.279456381281
"cONTROL1","control1","control",849,440.6562153,7.344270255,14.667289088473,104.27945638128
"cONTROL1","control1","control",899,466.6077003,7.776795005,14.5505094510147,103.449192721984
"cONTROL1","control1","control",949,492.5591853,8.209319755,15.0773812786442,107.195072920868
"cONTROL1","control1","control",999,518.5106703,8.641844505,15.2216657266904,108.220886465264
"cONTROL3","control2","control",0,0,0,10.3723676119257,100
"cONTROL3","control2","control",49,25.4814553,0.424690921666667,10.9523818911565,105.591917881545
"cONTROL3","control2","control",99,51.4829403,0.858049005,10.9562753793318,105.629455002489
"cONTROL3","control2","control",149,77.4844253,1.29140708833333,12.1285507598558,116.931362381631
"cONTROL3","control2","control",199,103.4859103,1.72476517166667,12.1285507598558,116.931362381631
"cONTROL3","control2","control",249,129.4873953,2.158123255,11.8366825376374,114.117460742792
"cONTROL3","control2","control",299,155.4888803,2.59148133833333,11.5448241933457,111.303654337048
"cONTROL3","control2","control",349,181.4903653,3.02483942166667,11.4362541305357,110.256930321162
"cONTROL3","control2","control",399,207.4918503,3.458197505,11.3388747232559,109.3180954194
"cONTROL3","control2","control",449,233.4933353,3.89155558833333,11.4287928646098,110.184996253599
"cONTROL3","control2","control",499,259.4948203,4.32491367166667,11.5724986018753,111.570463319963
"cONTROL3","control2","control",549,285.4963053,4.758271755,11.937147240499,115.086040980404
"cONTROL3","control2","control",599,311.4977903,5.19162983833333,12.149631686702,117.134603605188
"cONTROL3","control2","control",649,337.4992753,5.62498792166667,11.9139005831098,114.861919947879
"cONTROL3","control2","control",699,363.5007603,6.058346005,12.0296846504743,115.978194184354
"cONTROL3","control2","control",749,389.5022453,6.49170408833333,12.2918497333315,118.505727845577
"cONTROL3","control2","control",799,415.5037303,6.92506217166667,12.2684060682377,118.279707461699
"cONTROL3","control2","control",849,441.5052153,7.358420255,12.0296846504742,115.978194184354
